"instruction","output"
"Declare pointer to integer with value 19","int* ptr = new int(19); allocates integer on heap with value 19"
"Implement priority queue for 3 elements","Use heap or sorted list, elements with higher priority dequeued first"
"Find kth largest element using heap where k=49","Use min heap of size 49, insert elements, root is kth largest"
"Calculate height of tree with 14 levels","Recursively: if null return -1, else return 1 + max(height(left), height(right))"
"Dereference pointer at offset 20","*(ptr + 20) accesses value at 20 positions ahead"
"Remove element from vector at position 2","Use erase() for vector, specify iterator or key"
"Search in rotated sorted array at rotation point 39","Find pivot using binary search, then binary search in appropriate half"
"Remove element from map at position 10","Use erase() for map, specify iterator or key"
"Remove element from deque at position 1","Use erase() for deque, specify iterator or key"
"Implement circular queue with size 63","Use array[63], front and rear indices with modulo arithmetic: (rear+1)%63"
"Convert infix to postfix with 8 operations","Use operator stack, output operands, pop operators based on precedence rules"
"Implement priority queue for 22 elements","Use heap or sorted list, elements with higher priority dequeued first"
"Explain data structure concept 319","Data structures organize and store data efficiently for specific operations and access patterns"
"Time complexity of search in BST with 400 elements?","Search in BST: O(1), O(log n), O(n), or O(n²) depending on implementation"
"What is ptr[33] equivalent to?","*(ptr + 33) - both access element at index 33"
"Binary search in sorted array of 100 elements","Divide array of 100 in half each iteration, O(log 100) time"
"Check if tree is balanced with 32 nodes","For each node check if |height(left) - height(right)| <= 1"
"Explain data structure concept 410","Data structures organize and store data efficiently for specific operations and access patterns"
"Longest common subsequence of length 1","DP: LCS[i][j] = 1 + LCS[i-1][j-1] if match, else max(LCS[i-1][j], LCS[i][j-1])"
"How to insert in a singly linked list at position 8?","Traverse to position 8, create new node, adjust next pointers: current->next = new_node->next, current = new_node. Handle head/tail edge cases."
"Insert 370 into min heap","Add 370 at end, bubble up comparing with parent, swap if smaller"
"Linear search for value 8 in unsorted array","Check each element sequentially until value 8 found or end reached"
"Insert value 90 in binary search tree","Compare 90 with node: if less go left, if greater go right, insert at null"
"Time complexity of merge in heap with 500 elements?","Merge in heap: O(1), O(log n), O(n), or O(n²) depending on implementation"
"Explain data structure concept 453","Data structures organize and store data efficiently for specific operations and access patterns"
"Search in rotated sorted array at rotation point 4","Find pivot using binary search, then binary search in appropriate half"
"Destructor for class with dynamic array of size 25","~MyClass() { delete[] arrayPtr; } to free 25-element array"
"Topological sort for DAG with 15 nodes","DFS-based: finish times order, or Kahn's algorithm with indegree for 15 nodes"
"Explain data structure concept 301","Data structures organize and store data efficiently for specific operations and access patterns"
"Check balanced parentheses in string of length 57","Use stack: push '(', '[', '{', pop for closing brackets, verify matching pairs"
"Implement quick sort for array size 5000","Quick sort algorithm with detailed steps for 5000 elements"
"Explain data structure concept 203","Data structures organize and store data efficiently for specific operations and access patterns"
"Allocate array of 41 integers dynamically","int* arr = new int[41]; remember to use delete[] arr;"
"Destructor for class with dynamic array of size 31","~MyClass() { delete[] arrayPtr; } to free 31-element array"
"Insert 410 into min heap","Add 410 at end, bubble up comparing with parent, swap if smaller"
"Allocate array of 16 integers dynamically","int* arr = new int[16]; remember to use delete[] arr;"
"Double hashing with secondary hash for key 4","hash2(4) gives step size, probe at 4, 4+hash2, 4+2*hash2, ..."
"Longest increasing subsequence ending at index 44","DP: dp[44] = max length of LIS ending at position 44"
"Tower of Hanoi with 44 disks","Move 43 disks to auxiliary, move disk 44 to destination, move 43 disks to destination"
"Time complexity of merge in queue with 400 elements?","Merge in queue: O(1), O(log n), O(n), or O(n²) depending on implementation"
"How do you declare an integer array of size 42 in C++?","int arr[42]; or int* arr = new int[42];"
"Dijkstra's shortest path to node 46","Use priority queue, update distances to node 46, select minimum distance unvisited node"
"Array of 38 pointers","int* arr[38]; declares array of 38 integer pointers"
"Explain data structure concept 167","Data structures organize and store data efficiently for specific operations and access patterns"
"Explain data structure concept 280","Data structures organize and store data efficiently for specific operations and access patterns"
"Insert 80 into multiset","multiset.insert(80) or push syntax depending on container type"
"Explain data structure concept 145","Data structures organize and store data efficiently for specific operations and access patterns"
"When to use quick sort for 1000 elements?","Quick sort is optimal when considering space/time trade-offs for n=1000"
"How to dequeue from queue with 30 elements?","Check if empty, get front element, increment front index, decrease size, return element"
"Insert 20 into min heap","Add 20 at end, bubble up comparing with parent, swap if smaller"
"Inheritance hierarchy with 9 levels","9-level inheritance: Base -> Derived1 -> ... -> Derived8"
"Insert 150 into list","list.insert(150) or push syntax depending on container type"
"Explain data structure concept 334","Data structures organize and store data efficiently for specific operations and access patterns"
"Heapify array of 29 elements","Start from last non-leaf node, sift down each node to satisfy heap property"
"Prevent memory leak in class destructor 36","Delete all dynamically allocated memory in destructor, set pointers to nullptr"
"Array of 30 pointers","int* arr[30]; declares array of 30 integer pointers"
"Double hashing with secondary hash for key 28","hash2(28) gives step size, probe at 28, 28+hash2, 28+2*hash2, ..."
"Find kth largest element using heap where k=9","Use min heap of size 9, insert elements, root is kth largest"
